City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao joao da barra,-21.6403,-41.0511,22.05,87,14,6.45,BR,1691542274
83,hawaiian paradise park,19.5933,-154.9731,28.28,77,100,2.06,US,1691542171
84,labrador city,52.9463,-66.9114,14.95,67,100,4.12,CA,1691542231
85,kingston,17.997,-76.7936,30.53,84,40,7.72,JM,1691541987
86,lagunas,-5.2269,-75.6753,26.18,74,100,1.06,PE,1691542180
87,portland,45.5234,-122.6762,31.76,43,20,4.63,US,1691541675
88,shakawe,-18.3667,21.85,13.27,39,4,2.71,BW,1691542274
89,gargalianoi,37.0667,21.6333,24.64,72,0,1.53,GR,1691542275
90,fort bragg,35.139,-79.006,29.75,59,0,4.63,US,1691542275
91,puerto san jose,13.9256,-90.8244,28.43,78,94,1.82,GT,1691542275
92,charlottetown,46.2352,-63.1267,19.87,85,75,5.66,CA,1691541576
93,rouissat,31.9243,5.3502,33.04,18,0,2.06,DZ,1691542275
94,guerrero negro,27.9769,-114.0611,26.15,69,22,7.65,MX,1691542206
95,rifle,39.5347,-107.7831,32.33,6,0,7.72,US,1691542275
96,aasiaat,68.7098,-52.8699,2.41,74,100,1.12,GL,1691542178
97,tiksi,71.6872,128.8694,17.65,46,7,1.58,RU,1691542192
98,port mathurin,-19.6833,63.4167,22.5,57,84,7.32,MU,1691542172
99,jiayuguan,39.8167,98.3,28.48,24,99,9.89,CN,1691542275
100,margaret river,-33.95,115.0667,13.35,57,18,1.83,AU,1691542187
101,axim,4.8699,-2.2405,23.83,90,100,5.8,GH,1691542052
102,sitka,57.0531,-135.33,14.94,82,100,3.6,US,1691541942
103,taoudenni,22.6783,-3.9836,37.68,11,0,6.22,ML,1691542275
104,patterson,37.4716,-121.1297,35.06,37,0,2.93,US,1691541994
105,imuris,30.7833,-110.8667,34.28,35,16,6.18,MX,1691542276
106,blackmans bay,-43.0167,147.3167,9.85,68,100,3.57,AU,1691542172
107,keyser,39.4409,-78.9739,24.86,66,18,3.91,US,1691542276
108,sosnovo-ozerskoye,52.5249,111.5418,20.41,53,100,3.43,RU,1691542276
109,coron,11.9986,120.2043,28.99,77,100,4.68,PH,1691542276
110,daru,-9.0763,143.2092,25.49,76,78,7.51,PG,1691542276
111,khandyga,62.6667,135.6,20.87,43,38,0.88,RU,1691542173
112,tuchola,53.5879,17.8591,11.57,94,1,4.35,PL,1691542276
113,utrik,11.2278,169.8474,28.41,77,96,5.15,MH,1691542175
114,whitehorse,60.7161,-135.0538,16.43,72,75,2.06,CA,1691542167
115,hithadhoo,-0.6,73.0833,27.32,76,57,2.72,MV,1691541936
116,island harbour,50.724,-1.2758,17.18,93,100,0.89,GB,1691542184
117,tvoroyri,61.5556,-6.8111,9.22,78,94,14.15,FO,1691542276
118,andergrove,-21.0833,149.1833,23.14,74,87,7.47,AU,1691542276
119,uturoa,-16.7333,-151.4333,25.46,82,100,5.64,PF,1691542215
120,pisco,-13.7,-76.2167,20.03,77,0,6.17,PE,1691542184
121,port lincoln,-34.7333,135.8667,16.47,46,0,10.74,AU,1691542236
122,dhulikhel,27.6189,85.5529,20.75,96,100,0.53,NP,1691542277
123,nanzhang chengguanzhen,31.7839,111.8275,28.96,69,14,2.3,CN,1691542277
124,micheweni,-4.9667,39.8333,24.21,80,8,5.94,TZ,1691542277
125,enewetak,11.3474,162.3373,28.68,77,70,6.73,MH,1691541996
126,hami,42.8,93.45,30.04,30,100,4.55,CN,1691542178
127,new norfolk,-42.7826,147.0587,10.51,55,100,1.87,AU,1691542182
128,vadso,70.0744,29.7487,19.49,82,0,1.54,NO,1691542182
129,valparaiso,-33.0393,-71.6273,15.0,67,100,2.57,CL,1691542012
130,nantucket,41.2835,-70.0995,22.79,76,0,6.69,US,1691542198
131,arroio grande,-32.2375,-53.0869,12.07,77,100,5.03,BR,1691542277
132,cuite,-6.4836,-36.1536,18.22,96,100,4.06,BR,1691542277
133,invercargill,-46.4,168.35,7.79,71,84,5.81,NZ,1691542179
134,priozersk,61.0393,30.1291,15.05,89,0,1.72,RU,1691542277
135,nagqu,31.5,92.0,8.11,73,7,1.74,CN,1691542174
136,xilin hot,43.9667,116.0333,20.57,60,4,4.02,CN,1691542255
137,isafjordur,66.0755,-23.124,10.03,62,13,1.67,IS,1691542192
138,nizhnyaya salda,58.0776,60.7202,13.69,91,7,2.13,RU,1691542278
139,coronel du graty,-27.6804,-60.9146,12.79,81,100,1.93,AR,1691542278
140,qaqortoq,60.7167,-46.0333,4.75,90,28,1.35,GL,1691542217
141,kodiak,57.79,-152.4072,12.73,94,100,2.06,US,1691542197
142,chiang klang,19.2938,100.8617,23.57,100,100,1.06,TH,1691542278
143,labytnangi,66.6572,66.4183,12.93,70,100,1.36,RU,1691542205
144,tadine,-21.55,167.8833,20.81,50,14,5.24,NC,1691542043
145,saint-philippe,-21.3585,55.7679,19.77,81,46,4.22,RE,1691542223
146,ciudad bolivar,8.1222,-63.5497,26.13,81,100,2.59,VE,1691542278
147,juneau,58.3019,-134.4197,19.0,82,75,6.17,US,1691542278
148,thunder bay,48.4001,-89.3168,20.99,73,100,4.12,CA,1691542177
149,brisas de zicatela,15.8369,-97.0419,28.76,81,66,2.08,MX,1691542278
150,vernon,50.2581,-119.2691,29.23,32,87,1.54,CA,1691542071
151,sisimiut,66.9395,-53.6735,6.79,69,13,1.55,GL,1691542075
152,iskateley,67.6803,53.1512,10.91,71,28,1.56,RU,1691542189
153,mariental,-24.6333,17.9667,14.12,30,60,4.14,NA,1691542278
154,san patricio,28.017,-97.5169,33.63,66,0,7.26,US,1691542221
155,kansanshi,-12.0951,26.4273,12.74,59,5,1.71,ZM,1691542278
156,nova sintra,14.8667,-24.7167,22.75,73,6,6.41,CV,1691541945
157,fedorovskiy,45.0972,40.9517,23.09,57,0,1.13,RU,1691542278
158,kapa'a,22.0752,-159.319,35.99,75,100,8.75,US,1691542279
159,arraial do cabo,-22.9661,-42.0278,20.84,86,100,8.61,BR,1691542234
160,rongelap,11.1635,166.8941,28.44,77,100,5.56,MH,1691542231
161,ratlam,23.3167,75.0667,22.48,91,100,5.52,IN,1691542279
162,tofol,5.3248,163.0078,27.88,83,100,1.54,FM,1691542181
163,smithers,54.7804,-127.1743,19.18,72,75,3.09,CA,1691542201
164,tripoli,32.8752,13.1875,23.81,65,0,2.12,LY,1691542279
165,alta,69.9689,23.2717,16.48,96,28,5.06,NO,1691542242
166,harper,4.375,-7.7169,24.19,88,100,6.21,LR,1691542047
167,ghat,24.9647,10.1728,32.07,25,6,3.88,LY,1691542046
168,nianzishan,47.5167,122.8833,20.07,73,4,3.17,CN,1691542279
169,katabu,-4.9333,122.5167,28.68,57,11,4.18,ID,1691542279
